school,state,school_id,district_id,schoolwide_title1,title1_eligible,title1_school_status,lat,long,national_school_lunch_program,total_enroll,two_or_more_race,hawaiin_pi,white,black,hispanic,aapi,native
AMANA ACADEMY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,34.069218,-84.302681,Yes participating without using any Provision or the CEO,780,42,1,141,348,105,141,2
AMBROSE ELEMENTARY SCHOOL,Georgia,1.30135E+11,1301350,Yes,Yes,5-Title I schoolwide school,31.5962,-83.0073,Yes under Community Eligibility Option (CEO),392,8,0,209,43,131,0,1
AMERICUS SUMTER 9TH GRADE ACADEMY,Georgia,1.30462E+11,1304620,Yes,Yes,5-Title I schoolwide school,32.08436,-84.230058,Yes under Community Eligibility Option (CEO),294,6,0,20,229,39,0,0
AMERICUS SUMTER HIGH SCHOOL (OLD AMERICUS-SUMTER HS S),Georgia,1.30462E+11,1304620,Yes,Yes,5-Title I schoolwide school,32.0591,-84.233,Yes under Community Eligibility Option (CEO),709,10,0,58,565,71,5,0
ANDERSON ELEMENTARY SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.6406,-84.3334,Yes under Community Eligibility Option (CEO),482,8,1,10,264,196,2,1
ANDERSON-LIVSEY ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.7755,-84.0501,Yes participating without using any Provision or the CEO,702,27,1,29,468,165,8,4
ANDREA B WILLIAMS ELEMENTARY SCHOOL,Georgia,1.30102E+11,1301020,Yes,Yes,5-Title I schoolwide school,32.064134,-81.078014,No,514,13,3,3,483,9,3,0
ANITA WHITE CARSON MIDDLE SCHOOL,Georgia,1.30249E+11,1302490,Yes,Yes,5-Title I schoolwide school,33.5612,-83.18,Yes under Community Eligibility Option (CEO),528,10,0,53,365,96,2,2
ANNA K. DAVIE ELEMENTARY,GEORGIA,1.30444E+11,1304440,Yes,Yes,5-Title I schoolwide school,34.241463,-85.180691,Yes under Community Eligibility Option (CEO),409,22,0,48,258,81,0,0
ANNE STREET ELEMENTARY SCHOOL,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.2378,-84.2777,Yes under Provision 2,352,10,0,17,313,10,1,1
ANNETTE WINN ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,Yes,Yes,5-Title I schoolwide school,33.795919,-84.656766,Yes participating without using any Provision or the CEO,365,17,1,37,169,134,5,2
ANNIE BELLE CLARK ELEMENTARY SCHOOL,Georgia,1.30498E+11,1304980,Yes,Yes,5-Title I schoolwide school,31.4663,-83.5494,Yes under Community Eligibility Option (CEO),756,34,0,373,236,101,12,0
ANNISTOWN ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.8032,-84.0686,Yes participating without using any Provision or the CEO,694,28,0,41,398,198,28,1
ANTIOCH ELEMENTARY SCHOOL,Georgia,1.3057E+11,1305700,Yes,Yes,5-Title I schoolwide school,34.740537,-84.93434,Yes participating without using any Provision or the CEO,489,7,0,149,9,320,1,3
APALACHEE HIGH SCHOOL,Georgia,1.30029E+11,1300290,,No,6-Not a Title I school,33.9483,-83.7856,No,1917,101,1,1033,303,402,74,3
APPLING COUNTY ELEMENTARY SCHOOL,Georgia,1.30006E+11,1300060,Yes,Yes,5-Title I schoolwide school,31.7545,-82.3535,Yes under Community Eligibility Option (CEO),468,18,0,200,137,111,2,0
APPLING COUNTY HIGH SCHOOL,Georgia,1.30006E+11,1300060,Yes,Yes,5-Title I schoolwide school,31.7579,-82.3548,Yes under Community Eligibility Option (CEO),1004,34,0,579,234,147,9,1
APPLING COUNTY MIDDLE SCHOOL,Georgia,1.30006E+11,1300060,Yes,Yes,5-Title I schoolwide school,31.7232,-82.3399,Yes under Community Eligibility Option (CEO),823,37,0,453,186,144,3,0
APPLING COUNTY PRIMARY SCHOOL,Georgia,1.30006E+11,1300060,Yes,Yes,5-Title I schoolwide school,31.754439,-82.354489,Yes under Community Eligibility Option (CEO),635,34,0,299,153,146,3,0
APPLING MIDDLE SCHOOL,Georgia,1.30042E+11,1300420,Yes,Yes,5-Title I schoolwide school,32.866714,-83.622019,Yes under Community Eligibility Option (CEO),743,18,0,29,684,12,0,0
APS-FORREST HILLS ACADEMY,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.675164,-84.398488,Yes under Community Eligibility Option (CEO),33,0,0,0,29,4,0,0
ARABIA MOUNTAIN HIGH SCHOOL - ACADEMY OF ENGINEERING- MEDIC,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.650543,-84.131015,Yes participating without using any Provision or the CEO,1257,13,1,2,1204,26,7,4
ARBOR SPRINGS ELEMENTARY,Georgia,1.3015E+11,1301500,,No,6-Not a Title I school,33.4662,-84.6924,Yes participating without using any Provision or the CEO,398,24,0,281,48,38,6,1
ARBOR STATION ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.7119,-84.7526,Yes participating without using any Provision or the CEO,562,49,0,84,308,108,12,1
ARCADO ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.872,-84.1398,Yes participating without using any Provision or the CEO,911,34,0,125,193,268,288,3
ARCHER HIGH SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.916231,-83.893516,Yes participating without using any Provision or the CEO,2901,115,1,746,1453,488,93,5
ARGYLE ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.8826,-84.4834,Yes participating without using any Provision or the CEO,315,11,1,9,111,172,10,1
ARMUCHEE ELEMENTARY SCHOOL,Georgia,1.30219E+11,1302190,,No,6-Not a Title I school,34.3652,-85.1745,Yes participating without using any Provision or the CEO,397,20,0,333,14,23,7,0
ARMUCHEE HIGH SCHOOL,Georgia,1.30219E+11,1302190,,No,6-Not a Title I school,34.3427,-85.175,Yes participating without using any Provision or the CEO,663,28,0,565,24,38,8,0
ARMUCHEE MIDDLE SCHOOL,Georgia,1.30219E+11,1302190,,No,6-Not a Title I school,34.3871,-85.1669,Yes participating without using any Provision or the CEO,274,12,0,231,12,15,4,0
ARNALL MIDDLE SCHOOL,Georgia,1.3015E+11,1301500,Yes,Yes,5-Title I schoolwide school,33.3927,-84.7024,Yes participating without using any Provision or the CEO,926,51,0,344,322,150,57,2
ARNCO-SARGENT ELEMENTARY SCHOOL,Georgia,1.3015E+11,1301500,Yes,Yes,5-Title I schoolwide school,33.4383,-84.8733,Yes participating without using any Provision or the CEO,384,22,1,244,53,61,0,3
ARNOLD ELEMENTARY SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5244,-84.3479,Yes under Community Eligibility Option (CEO),460,35,1,20,308,71,23,2
ARNOLD MIDDLE SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.5144,-84.9634,Yes under Community Eligibility Option (CEO),600,46,1,136,258,152,7,0
ARNOLD MILL ELEMENTARY SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.1082,-84.4382,Yes participating without using any Provision or the CEO,724,42,0,508,38,128,7,1
ARTHUR WILLIAMS MIDDLE SCHOOL,Georgia,1.30555E+11,1305550,Yes,Yes,5-Title I schoolwide school,31.5835,-81.8756,Yes under Community Eligibility Option (CEO),622,31,0,390,151,43,6,1
ASA HILLIARD ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.664771,-84.478752,Yes under Community Eligibility Option (CEO),488,6,0,1,429,49,3,0
ASHFORD PARK ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.87434,-84.322021,Yes participating without using any Provision or the CEO,718,50,0,451,79,81,55,2
ASHWORTH MIDDLE SCHOOL,Georgia,1.30243E+11,1302430,Yes,Yes,5-Title I schoolwide school,34.5199,-84.9238,No,627,17,0,415,10,180,4,1
ATHA ROAD ELEMENTARY SCHOOL,Georgia,1.30539E+11,1305390,Yes,Yes,5-Title I schoolwide school,33.7907,-83.7863,Yes participating without using any Provision or the CEO,814,50,0,481,203,68,11,1
ATKINSON COUNTY HIGH SCHOOL,Georgia,1.30009E+11,1300090,Yes,Yes,5-Title I schoolwide school,31.32105,-82.84949,Yes under Provision 2,466,5,0,219,70,171,0,1
ATKINSON COUNTY MIDDLE SCHOOL,Georgia,1.30009E+11,1300090,Yes,Yes,5-Title I schoolwide school,31.32105,-82.84949,Yes under Provision 2,368,8,0,138,58,164,0,0
ATKINSON ELEMENTARY SCHOOL,Georgia,1.30048E+11,1300480,Yes,Yes,5-Title I schoolwide school,31.190884,-81.822323,Yes under Community Eligibility Option (CEO),268,10,0,240,8,10,0,0
ATKINSON ELEMENTARY SCHOOL,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.2713,-84.2594,Yes under Provision 2,426,25,0,18,356,25,0,2
ATKINSON ELEMENTARY SCHOOL,Georgia,1.3015E+11,1301500,Yes,Yes,5-Title I schoolwide school,33.3668,-84.7997,Yes participating without using any Provision or the CEO,375,23,2,171,130,48,0,1
ATLANTA AREA SCHOOL FOR THE DEAF,GEORGIA,1.30025E+11,1300254,Yes,Yes,5-Title I schoolwide school,33.802741,-84.240062,Yes under Provision 2,165,0,0,26,87,45,7,0
ATLANTA CLASSICAL ACADEMY,GEORGIA,1.30012E+11,1300120,,No,6-Not a Title I school,33.84378,-84.407711,Yes participating without using any Provision or the CEO,688,23,0,461,111,77,16,0
ATLANTA HEIGHTS CHARTER SCHOOL,Georgia,1.30022E+11,1300221,Yes,Yes,5-Title I schoolwide school,33.762973,-84.513714,Yes under Community Eligibility Option (CEO),758,17,0,0,692,47,0,2
ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,Georgia,1.30012E+11,1300120,,No,6-Not a Title I school,33.7357,-84.3761,Yes participating without using any Provision or the CEO,394,42,0,278,55,16,3,0
ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,Georgia,1.30012E+11,1300120,,No,6-Not a Title I school,33.732522,-84.355146,Yes participating without using any Provision or the CEO,234,13,0,150,58,12,1,0
ATLANTA SMART ACADEMY,GEORGIA,1.30026E+11,1300259,,No,6-Not a Title I school,33.752756,-84.474272,No,0,–,–,–,–,–,–,–
ATLANTA UNBOUND ACADEMY,GEORGIA,1.30026E+11,1300261,No,Yes,2-Title I targeted assistance school,33.660719,-84.445933,No,86,1,0,1,79,4,1,0
ATLANTA YOUTH DETENTION CENTER,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,33.602119,-84.555209,Yes participating without using any Provision or the CEO,25,1,0,1,22,1,0,0
AUBURN ELEMENTARY SCHOOL,Georgia,1.30029E+11,1300290,Yes,Yes,5-Title I schoolwide school,34.0097,-83.8242,No,677,45,0,385,49,158,40,0
AUGUSTA REGIONAL YOUTH DETENTION CENTER,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,33.3915,-82.0062,Yes participating without using any Provision or the CEO,11,0,0,2,9,0,0,0
AUGUSTA YOUTH DEVELOPMENT CAMPUS,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,33.39139,-82.006156,Yes participating without using any Provision or the CEO,48,0,0,9,35,4,0,0
AUSTELL ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.8166,-84.6343,Yes participating without using any Provision or the CEO,411,22,0,37,242,107,3,0
AUSTIN ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.956073,-84.334412,Yes participating without using any Provision or the CEO,682,32,0,361,21,49,217,2
AUSTIN ROAD ELEMENTARY SCHOOL,Georgia,1.30282E+11,1302820,Yes,Yes,5-Title I schoolwide school,33.6068,-84.1841,Yes participating without using any Provision or the CEO,330,26,0,27,227,43,6,1
AUSTIN ROAD MIDDLE SCHOOL,Georgia,1.30282E+11,1302820,Yes,Yes,5-Title I schoolwide school,33.6094,-84.1841,Yes participating without using any Provision or the CEO,625,27,1,39,470,82,6,0
AUTREY MILL MIDDLE SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0188,-84.2396,Yes participating without using any Provision or the CEO,1296,48,1,585,121,126,412,3
AVERY ELEMENTARY SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.2147,-84.3946,Yes participating without using any Provision or the CEO,977,37,1,817,26,91,4,1
AVONDALE ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.773871,-84.261955,Yes under Community Eligibility Option (CEO),371,8,0,36,283,23,20,1
AWTREY MIDDLE SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0429,-84.6474,Yes participating without using any Provision or the CEO,685,47,1,237,234,129,35,2
AZ KELSEY ACADEMY,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.259109,-84.255916,Yes participating without using any Provision or the CEO,35,1,0,8,25,1,0,0
B.E.S.T ACADEMY,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.788712,-84.479439,Yes under Community Eligibility Option (CEO),272,1,0,0,253,17,0,1
BABB MIDDLE SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.6043,-84.3534,Yes under Community Eligibility Option (CEO),982,24,0,31,375,477,72,3
BACON COUNTY ELEMENTARY SCHOOL,Georgia,1.30015E+11,1300150,Yes,Yes,5-Title I schoolwide school,31.5368,-82.4541,Yes under Community Eligibility Option (CEO),436,29,0,251,91,64,1,0
BACON COUNTY HIGH SCHOOL,Georgia,1.30015E+11,1300150,,No,6-Not a Title I school,31.521944,-82.459265,No,613,15,0,390,122,83,3,0
BACON COUNTY MIDDLE SCHOOL,Georgia,1.30015E+11,1300150,Yes,Yes,5-Title I schoolwide school,31.521944,-82.459265,Yes under Community Eligibility Option (CEO),484,22,0,290,96,74,1,1
BACON COUNTY PRIMARY SCHOOL,Georgia,1.30015E+11,1300150,Yes,Yes,5-Title I schoolwide school,31.559,-82.4796,Yes under Community Eligibility Option (CEO),544,22,0,299,143,79,1,0
BACON ELEMENTARY SCHOOL,Georgia,1.30555E+11,1305550,Yes,Yes,5-Title I schoolwide school,31.61639,-81.902766,Yes under Community Eligibility Option (CEO),577,32,0,355,123,64,2,1
BACONTON COMMUNITY CHARTER SCHOOL,GEORGIA,1.30026E+11,1300256,Yes,Yes,5-Title I schoolwide school,31.37655,-84.156013,Yes participating without using any Provision or the CEO,880,12,1,638,150,68,10,1
BAGGETT ELEMENTARY SCHOOL,GEORGIA,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.949107,-84.066289,Yes participating without using any Provision or the CEO,999,39,1,53,337,495,71,3
BAGLEY MIDDLE SCHOOL,Georgia,1.30384E+11,1303840,Yes,Yes,5-Title I schoolwide school,34.825185,-84.810183,Yes participating without using any Provision or the CEO,532,5,0,409,3,113,1,1
BAINBRIDGE HIGH SCHOOL,Georgia,1.30171E+11,1301710,Yes,Yes,5-Title I schoolwide school,30.886068,-84.481194,Yes under Community Eligibility Option (CEO),1392,32,0,526,668,157,6,3
BAINBRIDGE MIDDLE SCHOOL,Georgia,1.30171E+11,1301710,Yes,Yes,5-Title I schoolwide school,30.898114,-84.556545,Yes under Community Eligibility Option (CEO),670,17,1,255,310,82,5,0
BAKER COUNTY K12 SCHOOL,Georgia,1.30018E+11,1300180,Yes,Yes,5-Title I schoolwide school,31.311646,-84.344302,Yes under Community Eligibility Option (CEO),286,16,0,70,153,42,5,0
BAKER ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0577,-84.6234,Yes participating without using any Provision or the CEO,791,57,0,240,277,159,56,2
BAKER MIDDLE SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.4283,-84.9449,Yes under Community Eligibility Option (CEO),577,19,1,11,439,104,2,1
BAKER PLACE ELEMENTARY,Georgia,1.30141E+11,1301410,,No,6-Not a Title I school,33.496024,-82.239838,Yes participating without using any Provision or the CEO,1005,94,3,451,287,156,14,0
BALDWIN ELEMENTARY,GEORGIA,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.938851,-84.204352,Yes participating without using any Provision or the CEO,930,16,1,32,95,746,39,1
BALDWIN ELEMENTARY SCHOOL,Georgia,1.30258E+11,1302580,Yes,Yes,5-Title I schoolwide school,34.489145,-83.539946,No,347,11,0,76,16,232,12,0
BALDWIN HIGH SCHOOL,Georgia,1.30021E+11,1300210,Yes,Yes,5-Title I schoolwide school,33.07241,-83.258592,Yes under Community Eligibility Option (CEO),1247,39,1,237,916,33,21,0
BALL GROUND ELEMENTARY SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.332262,-84.384472,Yes participating without using any Provision or the CEO,537,18,0,484,3,31,1,0
BALLARD HUDSON MIDDLE SCHOOL,Georgia,1.30042E+11,1300420,Yes,Yes,5-Title I schoolwide school,32.819,-83.658,Yes under Community Eligibility Option (CEO),807,11,0,20,757,18,1,0
BANKS COUNTY ELEMENTARY SCHOOL,Georgia,1.30024E+11,1300240,Yes,Yes,5-Title I schoolwide school,34.33035,-83.508051,Yes participating without using any Provision or the CEO,582,21,0,497,14,46,4,0
BANKS COUNTY HIGH SCHOOL,Georgia,1.30024E+11,1300240,,No,6-Not a Title I school,34.308787,-83.498484,Yes participating without using any Provision or the CEO,858,19,0,730,20,81,8,0
BANKS COUNTY MIDDLE SCHOOL,Georgia,1.30024E+11,1300240,Yes,Yes,5-Title I schoolwide school,34.3126,-83.4785,Yes participating without using any Provision or the CEO,672,32,1,552,8,75,4,0
BANKS COUNTY PRIMARY SCHOOL,Georgia,1.30024E+11,1300240,Yes,Yes,5-Title I schoolwide school,34.330291,-83.510069,Yes participating without using any Provision or the CEO,629,27,2,510,10,76,4,0
BANNEKER HIGH SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.590698,-84.519193,Yes under Community Eligibility Option (CEO),1596,21,0,13,1496,59,5,2
BARACK AND MICHELLE OBAMA ACADEMY,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.7282,-84.3827,Yes under Community Eligibility Option (CEO),285,2,0,8,268,5,2,0
BARACK H. OBAMA ELEMENTARY MAGNET SCHOOL OF TECHNOLOGY,GEORGIA,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.695793,-84.301874,Yes under Community Eligibility Option (CEO),1002,21,0,4,922,48,2,5
BARBER MIDDLE SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.059637,-84.652144,Yes participating without using any Provision or the CEO,894,55,1,248,349,208,32,1
BARKSDALE ELEMENTARY SCHOOL,Georgia,1.30441E+11,1304410,Yes,Yes,5-Title I schoolwide school,33.5687,-84.0282,Yes participating without using any Provision or the CEO,495,36,0,105,286,59,9,0
BARNETT SHOALS ELEMENTARY SCHOOL,Georgia,1.30117E+11,1301170,Yes,Yes,5-Title I schoolwide school,33.902318,-83.337986,Yes under Community Eligibility Option (CEO),476,30,0,121,268,50,5,2
BARNWELL ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0106,-84.25,Yes participating without using any Provision or the CEO,665,39,4,333,95,88,105,1
BARROW ARTS AND SCIENCES ACADEMY,GEORGIA,1.30029E+11,1300290,,No,6-Not a Title I school,33.944456,-83.657318,No,629,39,1,364,78,115,31,1
BARROW ELEMENTARY SCHOOL,Georgia,1.30117E+11,1301170,Yes,Yes,5-Title I schoolwide school,33.9415,-83.383,Yes under Community Eligibility Option (CEO),499,23,0,195,224,28,27,2
BARTON CHAPEL ELEMENTARY SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.441,-82.0875,Yes under Community Eligibility Option (CEO),400,10,0,14,349,26,0,1
BASCOMB ELEMENTARY SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.1309,-84.5779,Yes participating without using any Provision or the CEO,906,48,1,730,34,78,15,0
BATTLEFIELD ELEMENTARY SCHOOL,Georgia,1.30093E+11,1300930,Yes,Yes,5-Title I schoolwide school,34.9447,-85.2328,Yes participating without using any Provision or the CEO,448,20,1,357,17,19,34,0
BATTLEFIELD PRIMARY,Georgia,1.30093E+11,1300930,Yes,Yes,5-Title I schoolwide school,34.9449,-85.23,Yes participating without using any Provision or the CEO,488,24,4,393,18,25,22,2
BAY CREEK ELEMENTARY SCHOOL,Georgia,1.30539E+11,1305390,Yes,Yes,5-Title I schoolwide school,33.8364,-83.8881,Yes participating without using any Provision or the CEO,698,42,2,191,276,164,22,1
BAY CREEK MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.8727,-83.9606,Yes participating without using any Provision or the CEO,1252,77,1,190,744,189,48,3
